CustomerID,SimilarCustomerID,Score
C0001,C0107,0.9945864402193002
C0001,C0190,0.9899949557115172
C0001,C0048,0.981832110913663
C0002,C0159,0.9548869684871
C0002,C0178,0.9516467352495815
C0002,C0128,0.9248854446727073
C0003,C0133,0.9984822612784741
C0003,C0052,0.9968629945712856
C0003,C0031,0.9744104726805907
C0004,C0165,0.9819110721503387
C0004,C0153,0.9058076574419573
C0004,C0126,0.9010799345157591
C0005,C0186,0.9969296741736434
C0005,C0007,0.9838574680368083
C0005,C0140,0.9834927037999452
C0006,C0187,0.9093784969227297
C0006,C0011,0.8936934585633048
C0006,C0171,0.8662361574766673
C0007,C0005,0.9838574680368083
C0007,C0115,0.9778867454012585
C0007,C0140,0.9755934744889491
C0008,C0194,0.9036255071253542
C0008,C0139,0.9028362234737769
C0008,C0024,0.8973123340796514
C0009,C0062,0.9872555494751158
C0009,C0010,0.9708242447261681
C0009,C0061,0.958859588325275
C0010,C0062,0.9751356626228711
C0010,C0009,0.9708242447261681
C0010,C0111,0.963915065387696
C0011,C0137,0.976700090830106
C0011,C0191,0.9233774120589829
C0011,C0187,0.9143584131345818
C0012,C0113,0.9709412391261641
C0012,C0104,0.968708671760886
C0012,C0163,0.9606605652544048
C0013,C0099,0.9878421620853678
C0013,C0108,0.9644858416804777
C0013,C0143,0.8880247447356767
C0014,C0060,0.999388177797738
C0014,C0097,0.9377474049073314
C0014,C0128,0.9333289767191972
C0015,C0131,0.9826951748660608
C0015,C0033,0.9331015555852994
C0015,C0058,0.9314380468497139
C0016,C0183,0.999958168216482
C0016,C0026,0.9446361607168219
C0016,C0072,0.9443577679077101
C0017,C0075,0.9066868750080653
C0017,C0041,0.8949554560718179
C0017,C0057,0.8889978229447343
C0018,C0046,0.7280356313920138
C0018,C0059,0.7015834064110609
C0018,C0122,0.6953707747046775
C0019,C0172,0.7914683504443073
C0019,C0121,0.7666579396089527
C0019,C0119,0.7626941420604938
C0020,C0015,0.9227613446742549
C0020,C0140,0.9168891551039493
C0020,C0186,0.8953221676605494
